-1	20160101	20160201		NO BOOK
100001	20160101	20160201	Coupon Code:	Swift OS X Programming for Absolute Beginners (Wallace Wang)
100002				Core Data (Florian Kugler and Daniel Eggert)
100003				Advanced Swift (Chris Eidhof and Airspeed Velocity)
100004				Functional Swift (Chris Eidhof, Florian Kugler, and Wouter Swierstra)
100005				2D iOS & tvOS Games by Tutorials
100006				Core Data by Tutorials
100007				The iOS Apprentice
100008				tvOS Apprentice
100009				watchOS 2 by Tutorials
100010				Swift Apprentice
100011				iOS 9 by Tutorials
100012				iOS Animations
100013				Learning Core Data for iOS with Swift: A Hands-On Guide to Building Core Data Applications
100014				Learning Swift 2 Programming, 2nd Edition
100015				Swift Developer's Cookbook (Erica Sadun)
100016				iOS 9 Programming Fundamentals with Swift ( Matt Neuburg)
100017				Learning Swift: Building Apps for OS X and iOS
100018				Swift Pocket Reference, 2nd Edition (Anthony Gray)
100019				Learning Swift (Andrew J Wagner)
100020				iOS 8 Programming Fundamentals with Swift
100021				Mastering Swift 2 (Jon Hoffman)
100022				iOS Swift Game Development Cookbook, 2nd Edition (Jonathon Manning, Paris Buttfield-Addison)
100023				Swift High Performance (Kostiantyn Koval)
100024				Swift 2 Design Patterns (Julien Lange)
100025				Game Development with Swift (Stephen Haney)
100026				Swift 2 Blueprints
100027				Swift For Dummies (Jesse Feiler)
100028				Beginning Swift Programming (Wei-Meng Lee)
100029				iOS 8 Swift Programming Cookbook (Vandad Nahavandipoor)
100030				Professional Swift (Michael Dippery)
100031				Learning iOS 8 Game Development Using Swift (Siddharth Shekar)
100032				Swift Essentials – Second Edition (Alex Blewitt)
100033				Swift by Example (Giordano Scalzo)
100034				Application Development with Swift (Hossam Ghareeb)
100035				iOS 9 Swift Programming Cookbook (Vandad Nahavandipoor)
100036				Pro Swift
100037				Core Data in Swift: Data Storage and Management for iOS and OS X
100038				iOS 9 SDK Development
100039				Practical Auto Layout for Xcode 7 (Steven Lipton)
100040				Core Image for Swift: Advanced Image Processing for iOS (Simon J Gladman)
100041				iOS Programming: The Big Nerd Ranch Guide
100042				Swift Programming: The Big Nerd Ranch Guide
100043				Swift 2 for Absolute Beginners
100044				Swift Documentation Markup (Erica Sadun)
100045				Swift Swift View Controllers (Steven Lipton)
100046				Playground Secrets and Power Tips (Erica Sadun)
100047				Swift Algorithms & Data Structures (Wayne Bishop)
